1/8 the amount of coffee consumed by the employees at Yelp in the time it takes to blink	one eighth the coffee consumption by the number of employees at Yelp in the time taken to blink	1/8th the coffee consumed by the entire staff of Yelp in the time it takes to blink	an eighth the volume of coffee consumed by the entire set of employees at Yelp in the time it takes to blink	1/8th the coffee consumed by all Yelp employees over a period equal to the blink of an eye	1/8th the coffee consumed by Yelp employees in the time it takes to blink	1/8 the amount of coffee drank by the entire Yelp workforce in the time it takes to blink
twenty times the amount of coffee consumed by the population of New of the time it takes to have lunch	twenty times the coffee consumption in the time taken for lunch by the population of New York	20 times the coffee consumption from people in New York during the time taken for lunch	20 times the volume of coffee consumed in a half hour in New York	the coffee consumption of the population of new york during the time it takes for lunch multiplied by 20	20 times the coffee consumption over a lunchtime by the number of people living in New York	20 times the amount of coffee consumed by the people of New York during lunch	20 times the amount of coffee consumption in the time taken for lunch by the population of New York	twenty times the amount of coffee consumption during the time taken for lunch by the population of New York
twice the trash generated in the US by the number of employees on Medicare in an hour	twice the trash generated in the US in an hour times the number of employees on Medicare in California	two times the weight of garbage produced in the United States by the number of workers on Medicare in California in one hour	twice the trash produced in an hour by all California workers on Medicare	twice the amount of trash generated by all the employees on Medicare in California in an hour	2 times the trash generated in the US by every employees on Medicare in California each hour	2 times the trash generated in an hour by everyone on Medicare in California
twenty times the number of employees in the United States during a lifetime	20 times the number of people born in the United States over the lifespan of an average dog	20 times the amount of people born in the US over the lifespan of the average dog	20 times as many babies as are born over the lifespan of a dog	20 times the amount of people born in the US for the average lifetime for a dog	twenty times the birth rate in the US over the average lifetime for a dog	twenty times all of the babies born in the US over the lifetime of a dog	twenty times the birth rate in the US during the average lifetime for a dog
5 times the rate of water usage of the US	the water usage of five US's	5 times the water usage in the US	5 times the water usage of the US	5 times the amount of water used in the US per person	5 times the rate of water usage in the United States	5 times the rate a person in the US uses water per day
the weight of garbage produced in the United States by the number of people killed during World War II in the time it takes to have a game	the trash generated by those killed in WWII during the length of a soccer game	the weight of the trash generated in the time required to play a soccer game by the number of people who were killed during WWII	the trash generated in the US in the time taken for a soccer game by the number of people killed during world war II	the amount of trash generated by the number of people killed during WWII in the time it takes to play a soccer game	the trash generated by US casulties in WWII during a soccer game	amount of trash generated in the US by the amount of people killed in world war II over the time it takes to play a game of soccer
1/6th of the amount of coffee consumed by the number of people in poverty in the time taken for a blink	a sixth of the coffee consumption of people in poverty throughout a soccer game	1/6th of the amount of coffee consumed by people in poverty during a soccer game	1/6 times the coffee consumed during a soccer by all the poor combined	one sixth the coffee consumption of the number of people in poverty in the time taken for a soccer game	100 thousand liters is 1/6th the amount of coffee consumed during the time of a soccer game by people in poverty	1/6th of the coffee consumption of all the people in poverty across the duration of a soccer game
twenty times the cost of an employee for the time taken to blink for the number of people killed in the US	twenty times the cost of employees numbering those killed during the September 11th attack in time taken to blink	20 times the cost of employing all the people killed during the September 11th attack every time you blink	20 times the cost to employee the number of people killed during the September 11th attacks for the time it takes to blink	20 times the cost of employing the number of people killed during the September 11th attack in the time it takes to blink	20 times the cost of employing the number of people killed during 9/11 for the time it takes to blink	20 times the cost of employees numbering the 9/11 victims in the time taken to blink
70 times the water usage of the people in poverty in the time it takes to blink	70 times the amount of water used by Americans in poverty in the time it takes to blink	70 times the amount of water used in the United States by everyone living below the poverty line in the time it takes to blink	70 times the amount of water usage in the US over the time taken to blink by the number of people in poverty	seventy times the water usage in the Us by the number of people in poverty in the time it takes to blink	70 times the water used by people in poverty in the time it takes to blink	70 time the water usage in the US in the time to blink by the number of people in poverty
twenty times the amount of coffee consumed by the population of United States in one hour	twenty times the coffee consumption of the population of the United States during the time taken to watch a soccer game	twenty times the coffee consumed during a soccer game by the entire population of the US	20 times the coffee consumed by the population of the US during a soccer game	20 times as much coffee is drank by the whole population of the US during one soccer game's duration	twenty times the amount of coffee consumed by the entire population of the US during a soccer game	20 times the amount of coffee consumed in the United States during a soccer game	20 times the amount of coffee consumed by the population of the United States in the time it takes to play a game of soccer
twice the trash generated in the US per day by the number of employees at McKinsey	twice the amount of trash generate in a day by all the employees at Yelp	the trash generated by US Yelp employees per two days	twice the trash generated in the US in one day by the staff at Yelp	twice the amount of trash generated by Yelp employees in a day	2 times the trash generated by Yelp employees in a day	2 times the amount of trash generated by the employees of Yelp in a day
1/50th of the cost of employing the number of people in poverty in the time taken for a blink	1/50 times the employee cost during a soccer game by the poor	cost of a worker	1/50 of what it costs to employ everyone in poverty for the length of a soccer game	1/50 the cost to employ everyone in poverty for the duration of one soccer game	1/50th of the cost of wages for all those living in poverty for a period equal to a soccer game	1/50th the cost of employing the number of people in poverty for the duration of a soccer game
the cost of the number of employees in the construction industry in the time taken for a blink	the cost of employing all employees in the construction industry for the same amount of time as a soccer game	the cost of an employee in 90 minutes in the construction industry	the amount of money made by the people working in construction over a soccer game	the total cost of employing workers in the American construction industry over the duration of a soccer game	the cost of employing the entire workforce of the construction industry for the time it takes to play a game of soccer	the cost of an employee per person per year for every employees in the construction industry in the duration of a soccer game
1/100 the cost of all the employees on Medicare for one day	1/100th the cost of employing every Medicare employee in California for one day	1/100 the cost to employ everyone on medicare in California for one day	1/100 the cost of all employees on Medicare in California in a day	1/100 of the cost to employee California's Medicare recipients for a day	one percent of the cost to employ all the workers on Medicare in California for one day	1/100th the cost of employing all of the employees on Medicare in California for one day	1/100 times the employee cost per day by all the California Medicare employees combined
the amount of water service industry employees produce during lunch	the amount of water consumed by all the employees in the services industry during the amount of time it takes to have lunch	the water usage in the US over the time taken for lunch by the number of employees in the services industries	1/1 times the US water used during lunch by all of the services employees combined	how much water is used over lunch by the employees of the services industry	the water used by all members of the service industry in the time it takes to eat lunch	the amount of water used by all the employees in the service industry in the time it takes to have lunch
one eightieth the water usage in the US by the number of employees in the oil industry in the time taken to graduate college	1/80th the water used by the number of people in the oil industry over the time it takes to graduate college	1/80 the water usage in the US by the number of employees in the oil industry over the time taken to graduate college	1/80th the amount of water used by workers in the American oil industry in the time it takes to graduate college	1/80 the water used by all employee in the oil industry in the time it takes to graduate college	1/80 the amount of water usage in the US over the time taken to graduate college by the number of employees in the oil industry	1/80th of the water used by all oil industry workers in the time it takes to graduate college	1/80 the water usage of employees in the oil industry during the time taken to graduate college
one third of the number of employees at Google	one third the number of Yelp employees	a third the number of employees working at Yelp	one third of the staff of Yelp	1/3 the number of employees at Yelp	a third of the actual number of Yelp employees	1/3 the number of Yelp employees
one fifth of the amount of water that the average household generates in a week	a fifth of the water used per person in the us per day per week for the average household size	1/5 the amount of water usage in the US per week by the average household size	1/5th of the amount of water used in the United States by an average household in one week	1/5th the weekly water usage of an average household in the US	1/5th the amount of water an average American household uses in a week	1/5th the amount of water used in the US per week for the average household size
one ninth the median income in the time taken for a tree	1/9 the median income in the time it takes to play a soccer game	1/9 the median income earned in the same amount of time as a soccer game	1/9 the median income in the time taken for a soccer game	1/9th of the median income during a soccer game	1/9th the median income over the course of a soccer game	1/9th of the median income during the time taken for a soccer game
one eightieth the cost of the number of employees in the manufacturing industry in the time taken for a work day	1/80 the cost of an employee in the manufacturing industry during the time taken for a work day	1/80th of the cost of a manufacturing employee during a work day	one eightieth the cost of an employee during the time taken for a workday times the number of employees in the manufacturing industry	1/80th the cost of employing everyone in the manufacturing industry for one work day	1/80 the cost of all employees in the manufacturing industry in a work day	1/80 the cost of an employee for all of the employees in the manufacturing industry put together in a work day
1/50th of the number of people who die in the time it takes to graduate college	1/50th of the number of people born throughout the world over the time it takes to graduate college	1/50th the amount of people born in four years in the world	1/50 the global birth rate during the time taken to graduate college	1/50 times all the babies born during college	1/50th the global birth rate by the time it takes to graduate college	1/50 the number of people who die in the same amount of time as it takes to complete college
1/9th of the weight of garbage produced in the United States by the average lifespan of a person	1/9th the trash generated in the US in the average lifetime for a dog	a ninth the trash generated per person over the lifetime of a dog	1/9 of the trash generated in the US over the lifetime of a dog	1/9th the weight of trash generated in the U.S. over a time equivalent to the average lifetime for a dog	1/9th of the weight of garbage produced in the United States over the lifespan of an average dog	one ninth the trash generated in the US over the average lifespan of a dog
half the trash generated in the US by the number of employees at Yelp in the time taken for a basketball game	one half the amount of trash generated by Yelp employees during a basketball game	half the trash generated in the US by the employees at Yelp during the time taken for a basketball game	half the trash generated in the US by the number of employees at Yelp in the time taken for a basketball game	half of the weight of trash generated in the US by the employees at Yelp in the time it takes to play a basketball game	1/2 the weight of trash generated in the US by the amount of Yelp employees during a basketball game	half the trash generated by all Yelp employees over the duration of a basketball game
1/3 the time it takes to build the number of cars produced in one week	a third of the time taken to build a car for the number of cars produced in 2011	the time it took to build all the cars produced in 2011	one third of the time required to build all of the cars manufactured in 2011	1/3 of the time it takes to build the number of cars produced in 2011	one third the amount of time taken to buld the total number of cars produced in 2011	1/3rd the amount taken to build a car by the amount of cars produced in 2011	one third the total time taken to build the number of all the cars produced in 2011	1/3 the time it takes to build all the cars made in 2011
1/20 the cost of an employee in the manufacturing industry during a blink	1/20 the cost to employ everyone in manufacturing in the time it takes to play a soccer game	1/20th the cost to employ the amount of manufacturing industry employees during a soccer game	1/20 the amount of the cost of all employees in the manufacturing industry during a soccer game	1/20th the cost to pay employees in the manufacturing industry for the time it takes to watch a soccer game	1/20 the cost of employing the number of employees in the manufacturing industry in the time taken for a soccer game	one twentieth the cost of manufacturing industry per soccer games
one half of the global global rate times the average lifetime of a person	half the global birth rate during the average lifetime for a dog	1/2 times the number of people born around the world during a dog's lifetime	half the number of people born on Earth during the lifespan of a dog	half the the number of people born over the average lifetime for a dog	One half the amout of babies born around the world over the lifetime of a dog	half of the global birth rate in a dog's average lifetime
nine times the number of cars in the Indy in terms of new cars	9 times the cost of the new cars made for the Indy 500	9 times a new car price by all the Indy 500 cars combined	9 times the cost of the number of cars in the Indy 500 by the cost of a new car	9 times the cost new cars numbering the total cars in the Indy 500	9 times the price of a fleet of cars equal in size to the number of cars racing in the Indy 500	9 times the cost of a new car times the number of cars in the Indy 500
30 times the water industry water industry employees during a football game	30 times the water usage by mining employees during a football game	30 times the water that would be used in the span of a football game by all mining industry employees	30 times the water used by mining employees in the time it takes to play a football game	30 times the water usage in the US by employees in the mining industry during the time taken for a football game	thirty times the amount of water used during a football game by the entire workforce employed by the mining industry	thirty times the water usage in the US over the time taken for a football game by the number of employees in the mining industry
5 times the weight of garbage produced in the United States by the number of workers in the United States in the time it takes to blink	5 times the amount of trash generated in the time it takes to blink by the population of New York	the amount of trash generated during a blink of an eye in New York	5 times the amount of trash generated by the people in the city of New York in the time it takes to blink an eye	5 times the amount of trash generated in the US in a blink of an eye in New York	5 times the amount of trash generated by all New Yorkers in the time it takes to blink	5 times the amount of trash produced by the New York population in the time it takes to blink	five times the trash produced by New York in the time it takes to blink	five times the amount of trash made by everyone in New York in the time it takes to blink
1/90th of the amount of coffee consumed by the employees in the manufacturing industry in a work day	1/90 the coffee consumed by manufacturing employees in one work day	1/90 the amount of coffee consumed in a work day by employees in the manufacturing industry	1/90 the amount of coffee consumed by all manufacturing industry employees during an average work day	1/90th of the coffee consumption of manufacturing employees during a work day	the amount of coffee consumed in an 8-hour work day by 1/90th the number of employees in the manufacturing industry	1/90th the amount of coffee consumed by all of the employees in the manufacturing industry during a work day	1/90 the coffee consumption by the number of employees in the manufacturing industry during a work day
one eighth the trash generated in the US by the number of employees in the manufacturing industry in the time taken for a work day	1/8th amount of trash generated int he US during a work day by employees in the manufacturing industry	1/8th the amount of trash generated in the US in a work day in the manufacturing industry	one eighth the trash generated in the US in the working day by the number of employees in the manufacturing industry	an eighth the trash generated by all manufacturing employees in a work day	1/8th the amount of trash generated in a work day by American manufacturing employees	1/8th the amount of trash generated during a work day by the employees in the manufacturing industry	1/8 the trash generated by everyone employed in manufacturing in one workday
one tenth the cost of the number of employees in the manufacturing industry in an hour	ten times the hourly cost of the number of employees in the manufacturing industry	1/10 the cost to employ everyone in manufacturing for an hour	1/10th the cost of an employee in one hour in the manufacturing industry	1/10th of the cost of the employees of the manufacturing industry an hour	1/10th the cost of employing the manufacturing industry for an hour	1/10th the cost to employ the number of people working in the manufacturing industry per hour
7 times the amount of water that the average number of employees in a grocery store in a week	7 times the weekly water usage in the US by the average number of employees in a grocery store	7 times the amount of water used in the US by a grocery store's total workforce in a single week	seven times the amount of water used in the United States by the staff of an average grocery store in one week	seven times the water usage in the US in a week by the average number of employees in a grocery store	7 times the amount of water used weekly by the employees of an American grocery store	the amount of water used by grocery store employees over 7 weeks
70 times the amount of coffee consumed by a person in the time taken for a tree	70 times the amount of coffee consumed by one person in the amount of time it takes to play a soccer game	70 times the coffee consumption during a soccer game	70 times the amount of coffee consumed during a soccer game	70 times the coffee consumed during a soccer game by one person	70 times the coffee consumed in the time it takes to play a soccer game	70 times the amount of money consumed during a soccer game
1/60th of the median income in the average lifetime of a person	1/60 the median income earned over the lifetime of an average dog	1/60th the median income earned over the life of a dog	1/60th the amopunt of median income during an average lifetime of a dog	1/60 the median income during the average lifetime for a dog	1/60th the median income through 12 years	1/60th of the median income earned over the lifespan of an average dog
1/20th the amount of water that the population of Asia generates in the time it takes to blink	1/20 the amount of water used in the US in the same amount of time as a blink if the US had the same population as Asia	1/20th the amount of water used by the Asian population in the time it takes to blink	1/20th the water usage in the US every time someone in the population of Asia blinks	five percent of water used by the population of Asia during the time it takes to blink	1/20 the water used in asia in the blink of an eye	1/20 the amount of water usage in the US by the population of Asia in the time it takes to blink
one fortieth the number of dogs in the US	1/40 the number of dogs that enter a shelter every hour	1/40 the number of dogs that go into sheltes in one hour	one fortieth the number of dogs in shelters per hour	1/40 of numbers of dogs in shelters by the hour	4 times the all the shelter dogs per hour	1/40 of the number of dogs in shelters in the course of one hour	1/40th of the number of dogs in shelters during an hour	a fortieth of the number of dogs in shelters per hour
the cost of an employee in the manufacturing industry during a work day	The cost of employing the number of employees in the manufacturing industry in the time taken for a work day	the amount it costs to employ the number of employees in the manufacturing industry for one work day	the cost of employing workers in the American manufacturing industry over the course of one work day	the cost to employ the number of employees in the manufacturing industry for a work day	the cost of wages for one work day for all manufacturing workers	the cost of manufacturing industry employees per work day
twice the water usage of the population of Stanford in the time it takes to blink	twice the amount of water used by the Stanford population in the time it takes to blink	twice the amount of water used in the US in the same amount of time as a blink by the population of Stanford	2 times the amount of water usage in the population of Stanford in the time taken to blink	twice the water usage in the US every time someone in the population of Stanford blinks	twice the amount of water used in the US by the population of Stanford in the time it takes to blink	2 times the water used by Stanford residents in the time it takes to blink
one fourth the trash generated in the US by the number of people killed in the US in a week	1/4 the trash generated in the US by the amount of people killed during the September 11th attack every week	1/4 the trash created by the number of people killed on 9/11 over the course of one week	1/4th of the trash generated in the US by the number of people killed during the September 11th attack in a week	a quarter of the trash generated in the U.S. weekly by the number of people killed during the 9/11 attack	one quarter of the weight of garbage produced in the United States by the number of people killed during 9/11 in one week	1/4th the amount of trash generated in a week by the people killed during the September 11th attack
1/60th of the water industry water day in the services industry	1/60th of the water used by all members of the service industry in a day	one sixtieth the water usage in the US per day by the number of employees in the services industry	1/60 the water usage in the US per day by the number of employees in the services industry	1/60th the water usage in the US in a day, by the number of employees in the services industry	1/60th of the amount of water used in the United States by all workers in the service sector in one day	1/60th the amount of water used in the U.S. by all the employees in the services industry in the course of a day
one fortieth the number of dogs in the United States in one minute	1/40 the number of dogs that go into shelters in a workday	1/40th of the number of dogs in shelters during a work day	1/40th of the number of dogs admitted to shelters on a given work day	a fortieth of how many dogs are put in shelters every work day	1/40th the number of dogs put in shelters during the time taken for a work day	1/40th of the amount of dogs in shelters in a single work day
30 times the total time taken to build the number of cars in the Indy	thirty time the time it took to build the number of cars in the Indy 500	30 times the amount of time it takes to build all the cars in the Indy 500	30 times the length of time needed to build the number of cars racing in the Indy 500	30 times the time it takes to build all the cars in the indy 500	30 times the time to make all the cars in the Indy 500	30 times the time taken to build the number of cars in the Indy 500	30 times as long as it would take to build the number of cars in an Indy 500 race
one fourth the trash generated in the US by the number of employees in the economy in the time taken for a football game	1/3 of the trash generated in the US by the number of employees in the economy over the course of a football game	a quarter of the trash generated by American employees in the amount of time it takes to watch a football game	one quarter of the weight of garbage produced in the United States by the total number of workers in the economy during a football game	1/4 of the trash produced by employees in the US economy during a football game	one fourth the amount of trash generated by the employees in the economy during  a football game	one fourth the trash generated by employees in the economy during a football game
5 times the cost of employing the population of the population of the time it takes to blink	5 times the cost of employees numbering the population of New York in the time taken to blink	five times the cost to employ the population of New York City for the time it takes to blink	five times the cost of an employee during the time it takes to blink for the population of new york	5 times the cost of employing the whole population of New York for the time it takes to blink	5 times the cost to employ everyone in new york for the time it takes to blink	5 times the amount of money earned by the New York population in the time it takes to blink
one tenth the trash generated in the US by the number of employees on Medicare in the time taken for a football game	one tenth the trash generated in the Us during the time taken for a football game by the number of employees on Medicare in California	ten percent of the trash generated during a football game by every worker in California on Medicare	the weight of trash generated in the US by the number of employees on Medicare in California during 1/10 of a football game	ten percent of the trash generated in the US by employees on Medicare in California during a football game	ten percent of the trash that every employee in California who is on Medicare, combined, will make during the course of a typical football game	one tenth the trash generated by the employees on Medicare in California during a football game
one fortieth the water industry weekly by the number of employees in the oil industry	1/40 the water used by oil industry employees in one week	1/40th the amount of water used weekly by all oil industry workers	one fortieth the amount of water used by all the employees in the oil industry each week	1/40 the water used in a week by the people who work in oil	1/40th of the amount of water used in the US in a week by all the employees in the oil industry	1/40th the weekly water usage of oil industry employees	1/40 times the US water used per week by all the oil industry employees
the weight of trash generated in the US by the number of employees in the economy in the time it takes to play a basketball game	trash generated in the US by the number of employees in the economy over the time taken for a basketball game	the amount of trash generated by all the employees in the economy during the time it takes to play a basketball game	the amount of trash generated in the US by the number of employees in the economy over the time taken for a basketball game	the weight of garbage produced in the United States by the total number of workers in the economy over the course of a basketball game	the amount of trash generated by all employees in the US economy during a basketball game	the weight of trash generated in the US by the amount of employees in the economy during the duration of a basketball game
3 times the cost of employing the number of employees at Yelp in the time taken for a blink	the cost of employing the number of Yelp employees for 3 soccer games	triple the cost of employing the entire staff of Yelp for the time it takes to play a game of soccer	3 times the cost of an employee at Yelp during the time taken for a soccer game	3 times the cost of an employee during 90 minutes at Yelp	3 times the cost to emply the amount of Yelp employees during the duration of a soccer game	3 times the cost of the number of employees at Yelp in the time taken for a soccer game
twice the cost of employing the number of employees at Yelp in a week	two times the cost of an employee at Yelp makes weekly	the cost of employee in the staff at Yelp for two weeks	the cost of all Yelp employees for two weeks	double the cost of all of the employees at Yelp for one week	2 times the cost to employ everyone at Yelp for a week	two times what it costs Yelp to employ all of its people for a week
1/70 the global birth in the time taken for lunch	1/70 the number of people born around the world during a lunch period	1/70th the number of people born across the world in the time it takes for lunch	1/70th the number of people born during the time it takes to have lunch	1/70 the global birth rate every lunch break	one seventieth of the global birth rate in the time spent on lunch	1/70th the amount of babies born around the world during lunch break
30 times the average lifetime of a lifetime by a person	30 times the regular sea level during the average lifetime of a dog	the amount that sea level will rise in the average lifetimes of 30 dogs	thirty times the amount that sea levels rise over a dog's life	thirty times the sea level rise over the lifetime of a dog	30 times the amount of sea level rise during an average dogs lifetime	30 times the amount sea level rises over the lifetime of a dog	30 times the sea level rise over the lifetime of a dog	thirty times the sea level rise over the average lifetime of a dog	thirty times the increase in sea level of the course of a dog's lifespan	30 times the amount the sea level rises over the course of a dog's lifetime	30 times the amount the sea level rises during a dog's life	30 times the sea level rise over the average lifetime for a dog	30 times the amount the sea rises during a dog's life	30 times the sea level rise during a dog's lifespan
the amount of coffee consumed by the population of San Francisco in the time it takes to have a game	how much coffe is consumed by the population of San Fransico in the time it takes to play a game of soccer	how much coffee the population of San Francisco consumes during a soccer game	the coffee consumption during a soccer game for the population of San Francisco	the coffee consumption of San Francisco during a soccer game	the amount of coffee consumed by the population of San Francisco during a soccer game	the coffee consumption of the entire population of San Francisco in the time it takes to play a soccer game
1/20th of the weight of garbage produced in the United States by the staff of the economy in one minute	1/20 of the weight of trash generated by all the employees in the economy in one minute	1/20 the trash generated in the US by the number of employees in the economy for a min	1/20 the amount of trash generated by the US employees in the economy in a minute	a 20th of the trash generated in the US by all of the employees in the economy in a minute	1/20 the weight of trash generated in the US per minute by the number of employees in the economy	1/20 the amount of trash generate in the US per minute multiplied bythe number of emplyees in the economy	1/20 the trash generated by all workers in the economy in one minute
one eighth the trash generated in the US by the population of United States in the time taken for a football game	1/8th of the trash produced by the total US population during the span of a football game	1/8th the amount of trash generated by the population of the US in the duration of a football game	18th the amount of trash generated by the US over the duration of a football game	1/8th the amount of trash generated int he US by the population of the US during a football game	an eighth of the amount of trash generated in the US during a football game	1/8th the weight of trash generated in the US over the duration of a football game by the population of The United States	one-eighth of the total amount of trash generated by the people in America during a football game
nine times the amount of coffee consumed by the employees in the mining industry in the time taken for a tree	9 times the coffee consumption by the number of employees in the mining industry over the length of a soccer game	9 times the coffee consumption by the number of employees in the mining industry in the time taken for a soccer game	9 times the total amount of coffee that is consumed by everyone working in the mining industry in the amount of time it takes to play a soccer game	9 times the amount of coffee consumption in the time taken for a soccer game by the number of employees in the mining industry	9 times the amount of coffee consumed by the entire mining industry workforce in the time it takes to play a game of soccer	9 times the coffee consumption of the number of employees in the mining industry over the course of a soccer game
one tenth the water taken for lunch by the population of Stanford	1/10th of the amount of water used in the United States by the population of Stanford in the time it takes to have lunch	one tenth the water used by the population of Stanford during lunch	1/10th the water used by the population of Stanford in the time it takes to eat lunch	1/10th the amount of water used in the US during lunch by the population of Stanford	1/10 times the US water used during lunch by all of Stanford combined	one tenth the water usage in the US in the time taken for lunch by a population the size of Stanford's
100 times the water water would drink in the time it takes to play a basketball game	100 times the water usage in the US by the population in San Francisco over the time taken for a basketball game	100 times the water usage in the US of the population of San Francisco for the time taken for a basketball game	100 times the amount of water used in the United States by the population of San Francisco over the course of a basketball game	100 times the amount of water used by San Franciscans in the time it takes to watch a basketball game	100 times the amount of water used by the population of San Francisco during a basketball game	the water usage of San Francisco over one hundred basketball games
5 times the water usage of Google employees in the time it takes to blink	five times the water usage in the U.S. By the number of employees at Google in the time taken to blink	5 times the amount of water used by employees at Google in the blink of an eye	5 times the water usage in the US in the time taken to blink times the number of employees at Google	5 times the amount of water usage in the US by the amount of Google employees during the time it takes to blink	five times the water usage in the US by employees at Google during the time it takes to blink	5 times the water used by Google employees in the blink of an eye
7 times the amount of coffee consumed by the amount of people killed by gun violence in 2016 in the average lifetime of a person	7 times the amount of coffee consumed over the average lifetime for a dog by a population equal to the number of people killed by gun violence in 2016	7 times the coffee consumed during a dog's life by all the 2016 gun violence victims combined	7 times the amount of coffee consumed by the number of individuals killed by gun violence in 2016 over the average lifetime for a dog	7 times the coffee consumed by the number of people killed by gun violence during the lifetime of a dog	7 times the coffee that would be consumed in a dog's lifetime by all those killed by guns in 2016	7 times the coffee consumed by everyone killed by gun violence in 2016 over the lifetime of a dog	seven times the coffee consumption over a canine lifetime for those people killed by gun violence in 2016
one week	the number of dogs put into shelters for one week	the number of dogs in shelters each week	the number of dogs in shelters during a single week	number of dogs in shelters in a week	the number of dogs in animal shelters over the course of a week	the number of dogs taken to shelters each week
one thirtieth the cost of the number of employees in the education industry in the time taken for a blink	1/30th of the cost to employ the amount of employees in the education industry during the duration of a soccer game	1/30th the cost of employees in the education industry during a soccer game	1/30 the cost to employ everyone in educatoin for the length of a soccer game	one thirtieth of the cost of the number of employees in education in the time taken for a soccer game	1/30th the cost of employing the entire workforce of the education industry for the time it takes to play a game of soccer	1/30 the cost of employing the number of employees in the education industry in the time taken for a soccer game
7 times the number of people who die in the time it takes to play a basketball game	7 times the rate of birth during a basketball game	7 times the number of people born throughout the world over the course of a basketball game	7 times the global birth rate during the time taken for a basketball game	7 times the number of births worldwide over the span of a basketball game	7 times the number of people born in the same amount of time as a basketball game	7 times the number of people born around the world during a basketball game	seven times the global births during the time for a basketball game
1/90th of the median income in the time taken for a person	1/90 the median income during the time taken for a soccer game	1/90 the amount of the median income during a soccer game	1/90th the median income during a soccer game	1/90 the median income made over the length of a soccer game	one nintieth the median income during a soccer game	1/90 of the amount of money earned by people making an median income during the average time of a soccer game
40 times the weight of the employees at McKinsey	40 times the weight of the combined employees of Yelp	40 times the average weight of an individual by the staff of Yelp	40 times the weight of everyone that works at Yelp	40 times the weight of all Yelp employees combined	40 times the weight of all the people that work at Yelp	40 times the weight of every Yelp employee combined
twice the water US water per minute by the number of employees in the services industry	Two times the amount of water used by all of the employees in the service industry in the US in a minute	twice the water usage in the US in a minute by the number of people in the services industry	2 times the water used by service employees in one minute	twice the water used in one minute by everyone who works in the services industry	double the amount of water used in the United States by all workers in the service sector in one minute	2 times the water usage in the US by employees in the services industry in a minute	twice the amount of water that employees in the service industry use per minute
5 times the cost of employing the staff of the economy in the US	5 times the cost of employing the total number of workers in the economy for one minute	5 times what it costs to employ everyone in the economy for one minute	5 times the cost of the number of employees in the economy each minute	5 times the cost of an employee during a minute in the economy	five times the cost of the number of employees in the economy per minute	5 times the cost to employ everyone in the economy in one minute
1/50th of the weight of garbage produced in the United States by the staff of Google over the lifespan of a person	1/50th of the weight of garbage produced in the United States by the staff of Google over the lifespan of an average dog	1/50th the amount of trash generated in the US in 12 years for the Google employee population	1/50 times the US trash produced during a dog's life by all the Google employees combined	1/50 the amount of trash generated in th US over the average lifetime for a dog by the number of employees at Google	one fiftieth of the trash generated in the US by the number of employees at Google in the average lifetime of a dog	a 50th of the trash generated in the US by all the employees at Google during the average lifetime of a dog
one tenth the cost of the number of employees equal to the people killed during the time taken for lunch	1/10th of the cost of wages for the time it takes to have lunch for a population equal to all 9-11 related fatalities	1/10th the annual cost of employee lunches for the amount of people killed during the September 11th attack	1/10th the salary of all the people killed during the September 11th attack during lunch break	1/10 the cost to employ everyone killed on 9/11 during the length of a lunch break	1/10th of the cost of employing the number of people killed during 9/11 for the time it takes to have lunch	1/10 the cost of an employee combined with the people killed during 9/11 during a lunch break
5 times the cost of employing the number of people killed during the length of one work day	5 times the cost of employees killed during the September 11th attack in a work day	five times the cost to employ the number of people killed during the September 11th attack in the time taken for a work day	5 times the cost to employ the number of people killed on 9/11 for one workday	five times the cost of all employees who were killed on 9/11 in a work day	5 times the cost to employ everyone killed on 9/11 for one work day	5 times the cost of employing a population equal to the number of people killed during the September 11th attack for one work day	5 times the cost of paying the salaries for the people that were killed during the September 11th attack for one work day
1/90th the amount of water that the average household generates in the time it takes to blink	1/90th the amount of water used in the average US household in the blink of an eye	1/90th of the water usage in a average US household during a blink	one ninetyith the amount of water usage in the US by the average household size in the time taken to blink	1/90 of the amount of water the average household uses in the blink of an eye	one nintieth the water usage per US household during a blink	one ninetieth the water usage in the US by the average household in the time taken to blink	1/90 the water used by a household in the blink of an eye
the amount of water that the average number of employees in a grocery store over the average lifetime of a tree	the water usage in the US by the average number of employees in a grocery store over the average lifetime of a tree	1/1 times all the US water used during a tree's life by all the staff of a grocery store	1/1 the mount of water usage in the US by the amount of grocery store employees during a trees average lifetime	water used by employees in a grocery store during a tree's life	the water used by employees in an American grocery store over the lifetime of a tree	the water used by employees of one grocery store in the average lifetime of a tree
twenty times the number of dogs in the United States as it takes to play a basketball game	twenty times the number of dogs in shelters during the time taken for a basketball game	20 times the number of dogs in shelters over the time taken for a basketball game	20 times the number of dogs in shelters during the time taken for a basketball game	20 times the number of dogs in shelters during a basketball game	twenty times the number of dogs present in shelters during the time it takes to watch a basketball game	20 times the amount of dogs in shelters over the course of a basketball game
